TransitionComputerCode,RouteString
BNICE2 COREA,BNICE COREA
BNICE2 DOLIE,BNICE COREA DOLIE
BNICE2 MERKS,BNICE MERKS
BNYRD6 TUS,TFD TUS
BOBKT5 BIL,BOBKT LVM SUBKY REEPO COLUS BIL
BOBKT5 BOY,BOBKT ZORKE TOOLS BOY
BOBZY5 BNA,BOBZY BRAYN REWET HALLS BAZOO BNA
BOBZY5 TNSLY,BOBZY TNSLY
BRDR7 IPL,BROWS JONDA IPL
BRDR7 JLI,BROWS JLI
BORRN6 CRGER,DILRE ZUUUU PUFER PSTUR CRGER
BORRN6 JCT,DILRE BOCCK MNURE HAYYY FOWLR JCT
BORRN6 MNURE,DILRE BOCCK MNURE
BORRN6 SAT,DILRE BOCCK MNURE MARCS SAT
BORRN6 WAILN,DILRE WEEED WAILN
BOSQE3 LAMSE,BOSQE WUTUP LAMSE
BOSQE3 ONM,BOSQE DUMMM ONM
BOSQE3 SJN,BOSQE WUTUP LAMSE SJN
BOWIE7 CRP,SAT YENNS THX CRP
BOWIE7 LRD,SAT MILET LRD
BRAKK5 HLV,BRAKK RMMOS HLV
BROAK1 ABQ,FTHLS JNIPR JSSUA ABQ
BROAK1 JNIPR,FTHLS JNIPR
BROAK1 MAXXO,FTHLS JNIPR JSSUA MAXXO
BRSTL1 ALLMA,BRSTL ALLMA
BRSTL1 BAXLY,BRSTL BAXLY
BCHN2 CROIT,CCR CROIT
BCHN2 PITTS,CCR PITTS
BCHN2 REJOY,CCR PITTS SEVUH REJOY
BCHN2 SABLO,CCR SABLO
BCHN2 SGD,CCR SGD
BXK4 BLH,BXK BLH
BXK4 PSP,BXK CULTS CURIV DECAS PSP
BXK4 PMD,BXK CULTS CURIV DECAS PMD
BXK4 PKE,BXK WLVRN PKE
BUELT4 FLW,BUELT FLW
BUELT4 FRAMS,BUELT GLJ PISMO FRAMS
BUELT4 GVO,BUELT GVO
BUELT4 RZS,BUELT RZS
BUFTT1 GUFFS,BUFTT MUTTN GUFFS
BUFTT1 JAYMC,BUFTT TOWIE GRIDS JAYMC
BUFTT1 MATLK,BUFTT TOWIE GRIDS TIRCO MATLK
BUNZZ3 RAMAY,BUNZZ RAMAY
BURRO5 BBALL,BURRO MRTNI SPLTZ RYYNN BBALL
BURRO5 GBN,BURRO MRTNI SPLTZ RYYNN ROSKR GBN
BURRO5 HOTTT,BURRO MRTNI SPLTZ RYYNN HOTTT
BURRO5 NOCHI,BURRO VEYLE MESCA NOCHI
BWALL2 JLENA,BWALL JLENA
CMA6 FIM,CMA ACRAT FIM
CMA6 GINNA,CMA ACRAT GINNA
CMA6 VTU,CMA VTU
CAMBA4 AVANS,CAMBA AVANS
CAMBA4 SJN,CAMBA SJN
CANOG3 AVE,IPIHO CASTA GMN COREZ AVE
CANOG3 FIM,IPIHO SUANA FIM
CANOG3 GMN,IPIHO CASTA GMN
CARYN7 CYBIL,CARYN CYBIL
CASCD3 DSD,CHISM DSD
CASCD3 JUDAH,CHISM JUDAH
CASCD3 PUHTS,CHISM PUHTS
CASCD3 SYNKR,CHISM SYNKR
CAVVS4 APE,CAVVS APE
CCOBB3 ZEGBI,CCOBB ZEGBI
CWK7 CLL,CWK ILEXY CLL
CWK7 ILEXY,CWK ILEXY
CWK7 JAYJO,CWK JAYJO
CWK7 TNV,CWK TNV
CWK7 NAVYS,CWK MUNCH NAVYS
CWK7 ACT,CWK ACT
CGULL1 DRYAD,CGULL MOFER SCOVL DRYAD
CGULL1 TWF,CGULL MOFER SCOVL DRYAD TWF
CHACO1 GUP,CHACO GUP
CHADM3 SWAPP,CHADM SWAPP
CHANL3 GMN,SXC LAX GMN
CHANL3 RZS,SXC VTU RZS
CHANL3 EHF,SXC LAX LANDO EHF
CLT3 BUCKL,CLT BUCKL
CLT3 GANTS,CLT GANTS
CLT3 HARAY,CLT HARAY
CLT3 LILLS,CLT LILLS
CLT3 PITTY,CLT PITTY
CLT3 RUNIE,CLT RUNIE
CHATT6 GSO,CHATT GSO
CHATT6 HOGAP,CHATT HOGAP
CHATY5 GMN,CHATY CASTA GMN
CHATY5 HENER,CHATY JOSUL FIM HENER
CHATY5 KWANG,CHATY JOSUL FIM DEANO KWANG
CHATY5 RZS,CHATY JOSUL FIM OHIGH RZS
CHCLL6 BUSYY,CHCLL BUSYY
CHCLL6 RAMRD,CHCLL BUSYY SKAMR RAMRD
CHCLL6 SKAMR,CHCLL BUSYY SKAMR
CHIEF9 CATTS,MCI CATTS
CHIEF9 STJ,MCI STJ
CHILY4 BTY,CHILY RAMSY SISIE DOVEE BTY
CHILY4 HOBES,CHILY HOBES
CHILY4 IGM,CHILY RAMSY SISIE IGM
CHILY4 EED,CHILY MUMTE JAWSY MEMPE EED
CHISM4 DSD,CHISM DSD
CHISM4 JOGEN,CHISM JOGEN
CHISM4 IMB,CHISM IMB
CHISM4 PAWLI,CHISM PAWLI
CHISM4 RIELY,CHISM RIELY
CHISM4 SMIGE,CHISM SMIGE
CHLDR5 ANSWA,CHLDR ANSWA
CHOII3 BLH,CHOII SLAPP YAAPY JETHK AERRO DECAS BLH
CHOII3 COREZ,CHOII YUMMI SHORS MDWAY COREZ
CHOII3 CSTRO,CHOII YUMMI HEYJO CSTRO
CHOII3 FIM,CHOII FIM
CHOII3 HAILO,CHOII SLAPP YAAPY JETHK BBITE ANTLP GUNNR ARRMY HAILO
CHOII3 HEC,CHOII SLAPP YAAPY JETHK BBITE ANTLP HEC
CHOII3 LAS,CHOII SLAPP YAAPY JETHK BBITE ANTLP NNAVY BLAZN LAS
CHOII3 MISEN,CHOII SLAPP YAAPY JETHK BBITE ANTLP NNAVY MISEN
CHRRO1 BAHNZ,CHRRO POZEY BAHNZ
CHRRO1 FMG,CHRRO POZEY BAHNZ FMG
CHRRO1 RALEY,CHRRO POZEY BAHNZ RALEY
CHRRO1 RBL,CHRRO POZEY ENRQZ RBL
CHRRO1 SHUFL,CHRRO POZEY BAHNZ DUNGN DRAGN SHUFL
CHUNA2 MORDI,CHUNA MORDI
CHUUC6 MYERZ,CHUUC MYERZ
