TransitionComputerCode,RouteString
TNP BASET5,TNP IPHIW ARRVD KONZL TRTLE PDZ ARNES BASET
TCUPS BAUBB3,TCUPS RUKKI SCANN BAUBB
TILLT BAUBB3,TILLT ZIPRR WURLL TCUPS RUKKI SCANN BAUBB
SSO SUNSS8,SSO ITEMM TELGE BAYBI
TUS SUNSS8,TUS HOTTT BAYBI
BURGL BAYST1,BURGL DOUIT CROWY MUPTT MDOTS GRIPR BIKNG RUNNN IRNMN SYMON BAYST
CERNL BAYST1,CERNL GAASR SERCO HUULL GNZZO RYDRR KEVVI BAYST
FRASR BAYST1,FRASR IRNMN SYMON BAYST
HUULL BAYST1,HUULL GNZZO RYDRR KEVVI BAYST
MUPTT BAYST1,MUPTT MDOTS GRIPR BIKNG RUNNN IRNMN SYMON BAYST
REBRG BAYST1,REBRG STADD DOUIT CROWY MUPTT MDOTS GRIPR BIKNG RUNNN IRNMN SYMON BAYST
RYDRR BAYST1,RYDRR KEVVI BAYST
SNAXX BAYST1,SNAXX SERCO HUULL GNZZO RYDRR KEVVI BAYST
KCEEE BAYYY5,KCEEE SLYCE GEEAR SHUDL BAYYY
KELPP BAYYY5,KELPP SHLLL BAYYY
LEV BAYYY5,LEV KCEEE SLYCE GEEAR SHUDL BAYYY
PEGLG BAYYY5,PEGLG SHLLL BAYYY
SEAGL BAYYY5,SEAGL SHLLL BAYYY
SJI BAYYY5,SJI SHREQ JEPEG SLYCE GEEAR SHUDL BAYYY
SHLLL BAYYY5,SHLLL BAYYY
KCEEE PUCKS4,KCEEE SLYCE GEEAR SHUDL BAYYY
KELPP PUCKS4,KELPP SHLLL BAYYY
PEGLG PUCKS4,PEGLG SHLLL BAYYY
SEAGL PUCKS4,SEAGL SHLLL BAYYY
SJI PUCKS4,SJI SHREQ JEPEG SLYCE GEEAR SHUDL BAYYY
SHLLL PUCKS4,SHLLL BAYYY
KCEEE SOULL1,KCEEE SLYCE GEEAR SHUDL BAYYY
KELPP SOULL1,KELPP SHLLL BAYYY
LEV SOULL1,LEV KCEEE SLYCE GEEAR SHUDL BAYYY
PEGLG SOULL1,PEGLG SHLLL BAYYY
SEAGL SOULL1,SEAGL SHLLL BAYYY
SJI SOULL1,SJI SHREQ JEPEG SLYCE GEEAR SHUDL BAYYY
SHLLL SOULL1,SHLLL BAYYY
BGOHH BAZBL1,BGOHH MUFNN HOMRN GOHAN BAZBL
ELLVR BAZBL1,ELLVR GOZDA HOMRN GOHAN BAZBL
HOMRN BAZBL1,HOMRN GOHAN BAZBL
ILEXY BAZBL1,ILEXY BEANE TEDYP BAZBL
MUFNN BAZBL1,MUFNN HOMRN GOHAN BAZBL
STYCK BAZBL1,STYCK HOMRN GOHAN BAZBL
BAYLI BDF9,BAYLI MAGOO WIMPI BDF
FTZ BDF9,FTZ GROOV BDF
IRK BDF9,IRK LOAMY KEOKK BDF
STL BDF9,STL GROOV BDF
TXSAS BEAHR3,TXSAS TELRE DLINE UUTEP
ELMUC BEANO3,ELMUC SHMUU BEANO
HARDE BEANO3,HARDE SHMUU BEANO
KATOK BEANO3,KATOK BEANO
BYI BEARR5,BYI EFFTA NORDD BLIDA BEARR
LCU BEARR5,LCU BEARR
PIH BEARR5,PIH MLD TEALZ BEARR
BYI SKEES5,BYI EFFTA BLIDA BEARR
PIH SKEES5,PIH MLD SLOAP BEARR
COLLT BELLR6,COLLT AMMMO BELLR
CRP BELLR6,CRP LMEDA ALIEF BIGTX BELLR
LMEDA BELLR6,LMEDA ALIEF BIGTX BELLR
SAT BELLR6,SAT BALKK PARAA GLOCK KMMBR BELLR
WEMAR BELLR6,WEMAR SHERE BELLR
CRP TSHRT2,CRP LMEDA ALIEF BIGTX HYDRL BELLR
PSX TSHRT2,PSX BELLR
SAT TSHRT2,SAT HYDRL BELLR
BFORD BENKY6,BFORD BYLAW BENKY
BYLAW BENKY6,BYLAW BENKY
CASHN BENKY6,CASHN BFORD BYLAW BENKY
DRAMS BENKY6,DRAMS RYELY BFORD BYLAW BENKY
IRK BENKY6,IRK LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY
LOAMY BENKY6,LOAMY KEOKK DRAMS RYELY BFORD BYLAW BENKY
TRICH BENKY6,TRICH BENKY
CRIED BEREE3,CRIED POWND WUUKY BEREE
OUTLN BEREE3,OUTLN VEEYO BEREE
PNUTS BEREE3,PNUTS CLEWS POPSY MUZZY BEREE
POPSY BEREE3,POPSY MUZZY BEREE
POWND BEREE3,POWND WUUKY BEREE
STUFT BEREE3,STUFT POWND WUUKY BEREE
YUYUN BEREE3,YUYUN WAITT PLMER OUTLN VEEYO BEREE
CRIED WHINY4,CRIED BRAZZ POWND BEREE
OUTLN WHINY4,OUTLN BEREE
PNUTS WHINY4,PNUTS CLEWS HORKO POPSY BEREE
POPSY WHINY4,POPSY BEREE
POWND WHINY4,POWND BEREE
STUFT WHINY4,STUFT LAMBY POWND BEREE
YUYUN WHINY4,YUYUN WAITT PLMER CHAWK OUTLN BEREE
COLLR BEWTE4,COLLR SKANA BEWTE
MAXMS BEWTE4,MAXMS CHUKA BEWTE
SUMOQ BEWTE4,SUMOQ MAXMS CHUKA BEWTE
CUSGA BGHRN3,CUSGA BGHRN
KARTS BGMAN1,KARTS BGMAN
CANOA BHHIA3,CANOA LULLS GRACK PYREX HULKY KERRA BHHIA
CITAG BHHIA3,CITAG KARTR TWNKL HULKY KERRA BHHIA
HULKY BHHIA3,HULKY KERRA BHHIA
IKBIX BHHIA3,IKBIX PEAKY STOGY PYREX HULKY KERRA BHHIA
KARTR BHHIA3,KARTR TWNKL HULKY KERRA BHHIA
MAXIM BHHIA3,MAXIM LULLS GRACK PYREX HULKY KERRA BHHIA
PYREX BHHIA3,PYREX HULKY KERRA BHHIA
STOGY BHHIA3,STOGY PYREX HULKY KERRA BHHIA
LAFLN DEALE3,LAFLN BILIT
RIDGY DEALE3,RIDGY BILIT
ACT BLEWE5,ACT BLEWE
WINDU BLEWE5,WINDU BLEWE
COREA BLFRG2,COREA BLFRG
FERAL BLFRG2,FERAL BLFRG
JAYMC BLFRG2,JAYMC BLFRG
