NavId,Lat,Lon
BR,46.4566203,-94.02243002
BR,25.98366283,-97.50909794
BR,40.65435738,-91.12322608
BRA,35.27275169,-82.47103705
BRG,34.64972222,-106.83305555
BRK,38.9445103,-104.63346708
BRL,40.72345583,-90.92588972
BRO,25.92407216,-97.3752683
BRV,38.33625733,-77.35286552
BRW,71.2734263,-156.7881178
BRX,29.20856972,-100.62397305
BSR,36.18129555,-121.64211222
BSV,40.74070638,-81.43211711
BT,30.58291925,-91.21107913
BT,42.36198636,-85.18441508
BTG,45.74781102,-122.59153655
BTT,66.90500841,-151.53588286
BTV,44.39710472,-73.18263472
BTV,44.47082041,-73.1554578
BTY,36.80059727,-116.7476403
BU,43.00031536,-78.65077272
BU,39.819279,-83.204632
BUA,45.55220194,-103.45637055
BUD,40.61659738,-83.06382638
BUF,42.9289915,-78.64634947
BUF,42.939225,-78.73419722
BUM,38.27208011,-94.48826111
BUP,44.69771838,-69.35859227
BUU,42.68932377,-88.30177905
BV,35.70320869,-91.79770788
BVG,31.33939166,-85.98194166
BVL,40.7260975,-113.75741722
BVO,36.83433472,-96.01843097
BVS,48.46859833,-122.41841305
BVT,40.55617161,-87.06937447
BVY,42.61059388,-70.94327361
BW,36.88003702,-86.48159788
BWD,31.89258252,-98.95746019
BWG,36.96444444,-86.42333333
BWS,32.82126111,-106.01315277
BWZ,40.79843277,-74.8218325
BXK,33.45345869,-112.82459369
BXR,45.82127777,-92.36641666
BYI,42.58023936,-113.86585758
BYP,33.53748611,-96.23409444
BYT,41.93056166,-72.69987277
BZA,32.7681075,-114.60294638
BZJ,40.43564722,-76.55302222
BZM,35.86885388,-81.24052888
BZN,45.78389891,-111.15545488
BZQ,32.41537355,-81.66403297
CA,38.14492777,-97.27614444
CAE,33.85724986,-81.0539028
CAK,40.91627916,-81.44205888
CAM,42.99428883,-73.34401891
CBM,33.64153333,-88.43857222
CBU,45.588631,-122.61125241
CCC,40.92961883,-72.79885825
CCR,38.0449203,-122.0452073
CCT,37.38242172,-87.26370347
CCV,37.34753888,-75.99765277
CD,42.75518016,-103.17465852
CDB,55.26729461,-162.77399627
CDO,18.43415833,-69.66734166
CDS,34.36906502,-100.28902758
CE,30.85285316,-86.53660963
CEC,41.77957883,-124.24084708
CEF,42.19754433,-72.52631494
CEP,33.48988586,-105.40433775
CEW,30.82617375,-86.67914327
CEZ,37.38984977,-108.5617515
CFB,42.15749036,-76.13647161
CFJ,39.98094905,-86.91572175
CFX,40.23674372,-81.01329447
CFY,33.85568352,-79.76593152
CG,37.25334716,-89.70045675
CGG,44.68141816,-84.72859688
CGI,37.22753908,-89.57241108
CGL,58.35932547,-134.699451
CGT,41.51000658,-87.57154611
CH,32.97632419,-80.09745494
CHE,40.52008166,-107.30490102
CHS,32.89431919,-80.03781427
CI,46.33252927,-84.54246672
CID,41.8875478,-91.78574891
CIM,36.49139694,-104.87199972
CIP,41.14629333,-79.45797386
